comentario,sentimento
filas de mais de horas nos brinquedosfilas de mais de hora para comprar águasem estruturachegamos na abertura do parque conseguimos ir em brinquedossem organização nas filassem funcionários preparadosbrinquedos ok mas nada demais,0
parque lotado fila da montezum demorou mais de horas com várias pessoas passando na frente dizendo que ia com o grupo que estava a frente dessa forma furando a fila e nenhum segurança para olhar e organizar chegando a sair briga por esse motivo falta funcionários as lanchonetes e quiosques com filas imensas por não ter pessoas para atender pela estrutura do parque poderia melhorar muito,0
muito ruim caiu na qualidade muito demorado uma hora e meia pra comer um lanche somente um atendente nunca mais vou,0
o parque atende a diversas faixa etária fomos pessoas com crianças de faixa etária bem diferente um de anos aborrecente rss e uma de anos todos aproveitaram as atrações inclusive os adultos a limpeza deixa a desejar mas aí o que conta é a educação e o bom senso de quem frequenta o parquea cada saída dos brinquedos entramos em uma lojinha obrigatoriamente é o caminho que tem que seguir principalmente nas atrações mais radicaiscom relação a alimentação tudo é meio fast food e não podia ser diferente afinal se ficar muito tempo na alimentação não conseguirá dar conta de ir nos brinquedos já que as filas são grandesos funcionários ao qual nós procuramos foram cordiaisum destaque para a apresentação da alice no teatromuito bem adaptado ficamos encantadosoutro destaque é a montanha russa de madeira infelizmente não conseguimos ir pois as filas estavam giganteso parque possui aluguel de carrinho para os pequenos e tbm o guardeiro para mochilas todos pagos a parte algumas atrações são pagar a parte também como a tirolesa entre outrasno geral foi um dia incrívelaproveitamos muito e voltaremos sem dúvida,1
decadentesó vá ao parque sea você poder perder um dia sem prejuízo de outros passeiosb tiver grana para pagar o fast passquando fui o parque não estava tão cheio segundo os funcionários ainda sim só conseguimos ir em atrações radicais e infantil chegamos e saímos mas as filas chegam a passar de h há relatos de h de esperaou seja sem fast pass r é perda de tempo as filas até para comer são intermináveis,0
fui ontem e fiquei um pouco decepcionado apesar de não estar muito lotado com filas de hora para os brinquedos mais concorridos tinha fila nas lanchonetes no restaurante sallon tem que chegar hora antes para conseguir uma mesa brinquedos parando para manutenção a todo momento e o mais decepcionante perderam as licenças da dc e da looney tunes tirando o brilho das atraçõesuma pena havia visitado o parque em outubro de logo após a reabertura e estava muito melhor que hoje ou seja depois de anos com a recuperação judicial em andamento imagina que o parque havia se reestruturado mas na verdade decaiu não que não seja um boa opção de passeio mas tem muito a melhorar,0
o parque tem montanhas russas roda gigante espetáculos teatrais e brinquedos aquáticos muito divertidos como o rio bravo ótimo para crianças e adultos,1
estive no festival hopi pride onde o parque estava muito bem estruturado e temático funcionários de bom humor educados e utilizavam de muito respeito para com todos,1
uma pena que um parque de diversão tão clássico e histórico numa localização impecável e com atrações bem bacanas esteja abandonado e sem cuidado o grande problema que enxergo é falta de gestão e pessoal o parque está funcionando apenas com o pessoal para manter o essencial funcionando mas precisa de mais carinho o pessoal está desmotivado mau humarado sem motivação mesmo filas existem por falta de eficiência mínima no processo exemplo filas para comer isso não existe mais uma pena,0
estive no parque no ultimo dia do evento hora do horror em fazia algum tempo que não voltava ao parque e sim o parque tem pontos a melhorar mas muitas queixas que vi aqui no site são injustaso maior problema hoje para o parque está relacionado as filas na alta temporada algumas atrações chegam a ter fila de mais de horas e a grande maioria não tem uma estrutura que torna a experiência mais confortável talvez a falta de algumas atrações também pese nesse sentido as filas junto ao clima árido da região e a falta de bebedouros força a necessidade de compra de água mas vale ressaltar que é permitido levar bebida lacrada então é possível trabalhar a economiasobre conservação o parque está muito bem conversado alguns lugares precisando de uma pintura mas fica evidente que há uma preocupação sim nesse sentido as atrações funcionando normalmente não presenciei paradas técnicas sendo a montanha russa de madeira bruta por natureza a área de aribabiba é a mais descaracterizada de temática e a de kaminda mundi a mais bem conservada na entrada de cada atração há um descritivo com as informações e um selo de qualidade internacional certificando que ela está plenamente funcionando dentro do padrão o que achei ótimopor fim continua sendo a melhor opção de parque de diversão na região sudeste e um dos melhores parques do país com opções que abrangem todos os públicos,1
melhor parque do mundo eu adore de mais principalmente o hotel mal assombradorecomendo super muito divertido fui com a minha prima e n me arrependime diverti os brinquedos são muito legais tive um dia ótimo foi o primeiro parque que eu fui na minha vida recomendo muito mesmo vai nos brinquedos de terror e se divirta no hopi hari pro parque eu dou nota melhor parque do mundo,1
